"_id","_labels","Att_t_client","Budgt_alloc","Client","Competitors","CrossSale","Deal_type","Forml_tend","Growth","Needs_def","Partnership","Posit_statm","Purch_dept","RFI","RFP","Scope","Source","Status","Strat_deal","Up_sale","authority","comp_size","name","product","seller","_start","_end","_type"
"320",":Sale","Normal","Yes","Current","No","No","Solution","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Big","id-1139","Product D","Seller 2",,,
"321",":Sale","Normal","Yes","New","Yes","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Media","Lost","Average important","No","Mid","Mid","id-1142","Product D","Seller 2",,,
"322",":Sale","Normal","No","Current","Yes","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Big","id-1242","Product D","Seller 1",,,
"323",":Sale","Normal","Yes","New","Yes","No","Solution","Yes","Stable","Yes","No","Neutral","Yes","No","Yes","Clear","Referral","Lost","Very important","No","Mid","Big","id-1258","Product D","Seller 1",,,
"324",":Sale","Normal","Yes","Current","Yes","Yes","Solution","Yes","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Lost","Average important","No","Mid","Big","id-1280","Product D","Seller 9",,,
"325",":Sale","First deal","Yes","New","Yes","No","Solution","No","Unknown","Yes","No","Neutral","Unknown","Yes","Yes","Clear","Direct mail","Lost","Average important","No","Mid","Mid","id-1291","Product D","Seller 2",,,
"326",":Sale","First deal","Unknown","New","Yes","No","Solution","No","Unknown","Yes","No","Neutral","Unknown","Yes","Yes","Clear","Direct mail","Lost","Unimportant","No","Mid","Mid","id-1293","Product D","Seller 2",,,
"327",":Sale","Normal","Yes","Current","No","No","Consulting","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Mid","id-1294","Product C","Seller 9",,,
"328",":Sale","Normal","No","New","Yes","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","No","Mid","Big","id-1299","Product C","Seller 9",,,
"329",":Sale","Normal","Yes","New","Yes","No","Solution","Yes","Stable","Yes","No","Neutral","Yes","No","Yes","Clear","Joint past","Lost","Average important","No","Mid","Big","id-1310","Product D","Seller 9",,,
"330",":Sale","Normal","Unknown","New","Yes","No","Project","Yes","Stable","Yes","No","Neutral","No","No","Yes","Clear","Media","Lost","Average important","No","Mid","Big","id-1314","Product C","Seller 9",,,
"331",":Sale","First deal","No","New","Unknown","No","Solution","No","Unknown","Yes","No","Neutral","No","Yes","Yes","Clear","Direct mail","Lost","Unimportant","No","Low","Mid","id-1317","Product D","Seller 2",,,
"332",":Sale","Normal","No","Current","No","No","Solution","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Small","id-1319","Product D","Seller 1",,,
"333",":Sale","Normal","No","Current","No","No","Solution","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Small","id-1320","Product D","Seller 1",,,
"334",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Lost","Very important","Yes","Mid","Big","id-1323","Product D","Seller 1",,,
"335",":Sale","First deal","Yes","New","Yes","No","Solution","No","Growth","Yes","No","Neutral","Yes","Yes","Yes","Clear","Direct mail","Lost","Average important","No","High","Mid","id-1324","Product D","Seller 2",,,
"336",":Sale","Normal","Yes","New","Yes","No","Project","Yes","Stable","Info gathering","Yes","Neutral","No","No","Yes","Few questions","Other","Lost","Average important","No","Mid","Big","id-1335","Product C","Seller 7",,,
"337",":Sale","First deal","Yes","New","Yes","No","Solution","Yes","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Media","Lost","Very important","No","Mid","Big","id-1336","Product D","Seller 1",,,
"338",":Sale","Normal","Yes","New","Yes","No","Solution","Yes","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Lost","Average important","No","Mid","Mid","id-1337","Product D","Seller 9",,,
"339",":Sale","Normal","No","Current","No","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Mid","id-1338","Product D","Seller 9",,,
"340",":Sale","Normal","No","Current","No","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Mid","id-1339","Product D","Seller 9",,,
"341",":Sale","First deal","Unknown","New","Unknown","No","Solution","No","Unknown","Yes","No","Neutral","Unknown","Yes","Yes","Few questions","Referral","Lost","Unimportant","No","Low","Small","id-1340","Product D","Seller 2",,,
"342",":Sale","Normal","No","Current","No","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Big","id-1344","Product D","Seller 1",,,
"343",":Sale","Normal","Yes","New","No","No","Solution","Yes","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Lost","Average important","No","Mid","Mid","id-1345","Product D","Seller 9",,,
"344",":Sale","First deal","Unknown","New","Yes","No","Solution","No","Unknown","Yes","No","Neutral","Unknown","Yes","Yes","Clear","Direct mail","Lost","Average important","No","Low","Mid","id-1355","Product D","Seller 2",,,
"345",":Sale","Normal","Yes","New","Yes","No","Solution","Yes","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Lost","Average important","No","Mid","Mid","id-1364","Product D","Seller 9",,,
"346",":Sale","Normal","Yes","New","Unknown","No","Project","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Unknown","Lost","Average important","No","Mid","Mid","id-1365","Product C","Seller 9",,,
"347",":Sale","Normal","Unknown","Current","No","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Big","id-1375","Product D","Seller 1",,,
"348",":Sale","Normal","Unknown","Current","No","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Big","id-1376","Product D","Seller 1",,,
"349",":Sale","Strategic account","Yes","Current","No","No","Project","No","Stable","Yes","No","Yes","No","No","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Big","id-1377","Product D","Seller 9",,,
"350",":Sale","Normal","No","New","No","No","Project","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","No","Mid","Small","id-1379","Product C","Seller 9",,,
"351",":Sale","Normal","No","Current","No","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Mid","id-1380","Product D","Seller 9",,,
"352",":Sale","Strategic account","Yes","Current","No","No","Maintenance","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Lost","Very important","Yes","Mid","Big","id-1383","Product D","Seller 1",,,
"353",":Sale","Normal","No","Current","No","No","Solution","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Big","id-1384","Product D","Seller 9",,,
"354",":Sale","Normal","No","New","No","No","Project","No","Stable","Yes","No","Neutral","No","No","Yes","Clear","Referral","Lost","Average important","No","Mid","Mid","id-1402","Product C","Seller 9",,,
"355",":Sale","Normal","No","Current","Yes","No","Solution","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","Yes","Mid","Big","id-1429","Product D","Seller 1",,,
"356",":Sale","Strategic account","Yes","Current","No","No","Maintenance","No","Stable","Yes","No","Neutral","Yes","Yes","Yes","Clear","Joint past","Lost","Very important","Yes","Mid","Big","id-1434","Product D","Seller 1",,,
"357",":Sale","First deal","Yes","New","Yes","No","Solution","No","Stable","Yes","No","Yes","Unknown","Yes","Yes","Clear","Direct mail","Lost","Average important","No","Mid","Big","id-1438","Product D","Seller 2",,,
"358",":Sale","Normal","Unknown","New","No","No","Project","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","No","Mid","Mid","id-1440","Product C","Seller 9",,,
"359",":Sale","Strategic account","Unknown","Current","Yes","Yes","Solution","No","Stable","Info gathering","No","Neutral","Unknown","Yes","Yes","Few questions","Referral","Lost","Very important","No","Mid","Mid","id-1443","Product D","Seller 2",,,
"360",":Sale","First deal","Yes","New","Yes","No","Solution","Yes","Stable","Yes","No","Neutral","Unknown","Yes","Yes","Clear","Direct mail","Lost","Average important","No","Mid","Big","id-1446","Product D","Seller 2",,,
"361",":Sale","First deal","Unknown","New","Yes","No","Solution","No","Growth","Yes","No","Neutral","Unknown","Yes","Yes","Clear","Direct mail","Lost","Average important","No","Mid","Mid","id-1447","Product D","Seller 2",,,
"362",":Sale","First deal","Unknown","New","Yes","No","Solution","No","Stable","Yes","No","Yes","Unknown","Yes","Yes","Clear","Referral","Lost","Average important","No","Low","Mid","id-1448","Product D","Seller 1",,,
"363",":Sale","First deal","No","New","No","No","Project","No","Growth","Yes","No","Neutral","No","Yes","Yes","Clear","Referral","Lost","Average important","No","Mid","Small","id-1080","Product E","Seller 1",,,
"364",":Sale","Normal","No","New","No","No","Project","No","Stable","No","No","Neutral","No","Yes","Yes","Low","Referral","Lost","Average important","No","Mid","Small","id-1240","Product E","Seller 9",,,
"365",":Sale","Normal","No","New","No","No","Project","No","Stable","Yes","No","Neutral","No","Yes","Yes","Clear","Joint past","Lost","Average important","No","Mid","Mid","id-1303","Product E","Seller 9",,,
"366",":Sale","Normal","Yes","New","Yes","No","Project","Yes","Stable","Yes","No","Neutral","No","No","Yes","Clear","Joint past","Lost","Average important","No","Mid","Mid","id-1401","Product E","Seller 9",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","15","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","16","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","17","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","18","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","19","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","20","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","197","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","198","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","199","IS_CONNECTED"
,,,,,,,,,,,,,,,,,,,,,,,,,,"0","200","IS_CONNECTED"
